Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"8592-1","Bionicle","Rahkshi",2003,"Rahkshi Turahk",,45,5.99,9,,,5702014265653,673419018692,10.2,18.7,8.8,,"",1,1,0,,,,,,,,,61.4900,10.7500,"01/07/2003","30/06/2004"
"8596-1","Bionicle","Warriors",2003,"Takanuva",,200,19.99,30,,,,673419019200,28.8,28.8,7.2,0.42,"",1,1,0,,,,,,,,,364.2800,81.5900,"01/07/2003","30/06/2005"
"8601-1","Bionicle","Toa Metru",2004,"Toa Vakama",,48,5.99,8,,,5702014362406,673419033244,9.2,19,9.2,,"",1,1,0,,,,,,,,,174.7200,17.1800,"01/03/2004","31/12/2004"
"8602-1","Bionicle","Toa Metru",2004,"Toa Nokama",,46,5.99,8,,,5702014362413,673419033251,9.2,19,9.2,,"",1,1,0,,,,,,,,,95.5300,14.9800,"01/03/2004","31/12/2004"
"8603-1","Bionicle","Toa Metru",2004,"Toa Whenua",,49,5.99,8,,,,673419033268,9.2,19,9.2,,"",1,1,0,,,,,,,,,87.3000,15.9600,"01/03/2004","31/12/2004"
"8604-1","Bionicle","Toa Metru",2004,"Toa Onewa",,44,5.99,8,,,5702014362437,673419033275,9.2,19,9.2,,"",1,1,0,,,,,,,,,94.0300,14.3800,"01/03/2004","31/12/2004"
"8605-1","Bionicle","Toa Metru",2004,"Toa Matau",,46,5.99,8,,,5702014362444,673419033282,9.2,19,9.2,,"",1,1,0,,,,,,,,,112.0400,14.8400,"01/03/2004","31/12/2004"
"8606-1","Bionicle","Toa Metru",2004,"Toa Nuju",,48,5.99,8,,,5702014362468,673419033299,9.2,19,9.2,,"",1,1,0,,,,,,,,,89.9100,14.8100,"01/03/2004","31/12/2004"
"8614-1","Bionicle","Vahki",2004,"Nuurakh",,32,5.99,9,,,5702014362543,673419033374,10.2,19,8.8,,"",1,1,0,,,,,,,,,41.5600,8.4600,"20/07/2004","31/07/2005"
"8617-1","Bionicle","Vahki",2004,"Zadakh",,32,5.99,9,,,,673419033657,10.2,19,8.8,,"",1,1,0,,,,,,,,,37.0900,8.2300,"20/07/2004","31/07/2005"
"8619-1","Bionicle","Vahki",2004,"Keerakh",,32,5.99,9,,,,673419033671,10.2,19,8.8,,"",1,1,0,,,,,,,,,30.8500,8.6800,"20/07/2004","31/07/2005"
"8622-1","Bionicle","Warriors",2004,"Nidhiki",,170,14.99,20,,,,673419033695,24,28.8,6,,"",1,1,0,,,,,,,,,119.8100,38.9500,"01/07/2004","30/11/2005"
"8668-1","Racers","Power Racers",2006,"Side Rider 55",,111,6.99,10,,,,673419079143,24,14.4,6,,"",1,1,0,,,,,,,,,12.4700,3.6400,"01/01/2006","31/12/2006"
"8683-1","Collectable Minifigures","Series 1",2010,"Tribal Hunter",1,9,1.99,1.99,,,5702014602304,673419130479,8.8,1,11.7,,"",1,1,0,,,,,,,,,27.9500,16.6700,"01/05/2010","31/12/2010"
"8683-2","Collectable Minifigures","Series 1",2010,"Cheerleader",1,7,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,19.0600,10.9400,"01/05/2010","31/12/2010"
"8683-3","Collectable Minifigures","Series 1",2010,"Caveman",1,6,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,15.0700,8.2400,"01/05/2010","31/12/2010"
"8683-4","Collectable Minifigures","Series 1",2010,"Circus Clown",1,6,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,23.7500,16.8800,"01/05/2010","31/12/2010"
"8683-5","Collectable Minifigures","Series 1",2010,"Zombie",1,6,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,27.3000,16.6900,"01/05/2010","31/12/2010"
"8683-6","Collectable Minifigures","Series 1",2010,"Skater",1,8,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,13.6600,8.7800,"01/05/2010","31/12/2010"
"8683-7","Collectable Minifigures","Series 1",2010,"Robot",1,6,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,18.0500,9.7500,"01/05/2010","31/12/2010"
"8683-8","Collectable Minifigures","Series 1",2010,"Demolition Dummy",1,6,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,16.1300,9.7300,"01/05/2010","31/12/2010"
"8683-9","Collectable Minifigures","Series 1",2010,"Magician",1,6,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,17.5300,9.4300,"01/05/2010","31/12/2010"
"8683-10","Collectable Minifigures","Series 1",2010,"Super Wrestler",1,5,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,19.7700,11.1500,"01/05/2010","31/12/2010"
"8683-11","Collectable Minifigures","Series 1",2010,"Nurse",1,8,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,35.9900,21.6400,"01/05/2010","31/12/2010"
"8683-12","Collectable Minifigures","Series 1",2010,"Ninja",1,7,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,11.1700,7.5600,"01/05/2010","31/12/2010"
"8683-13","Collectable Minifigures","Series 1",2010,"Spaceman",1,9,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,18.3900,11.6300,"01/05/2010","31/12/2010"
"8683-14","Collectable Minifigures","Series 1",2010,"Forestman",1,9,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,30.7600,20.7800,"01/05/2010","31/12/2010"
"8683-15","Collectable Minifigures","Series 1",2010,"Deep Sea Diver",1,9,1.99,1.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,10.6500,7.3200,"01/05/2010","31/12/2010"
"8683-16","Collectable Minifigures","Series 1",2010,"Cowboy",1,8,1.99,1.99,,,,673419130479,8.79,0.97,11.71,0.01,"",1,1,0,,,,,,,,,18.4000,9.8500,"01/05/2010","31/12/2010"
"8683-17","Collectable Minifigures","Series 1",2010,"LEGO Minifigures - Series 1 - Complete",16,115,31.84,,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,,,"01/05/2010","31/12/2010"
"8684-7","Collectable Minifigures","Series 2",2010,"Explorer",1,8,1.99,1.99,2.99,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,9.8900,5.9400,"01/09/2010","31/12/2010"
"8706-1","Castle","Knights' Kingdom II",2006,"Karzon",,44,5.99,9.99,,,5702014466579,673419078184,9.03,22.6,9.03,0.28,"",1,1,0,,,,,,,,,16.8000,10.2600,"01/01/2006","31/07/2007"
"8727-1","Bionicle","Toa Inika",2006,"Toa Jaller",,46,7.99,10,,,5702014467279,673419078627,14.5,23,7.2,0.29,"",1,1,0,,,,,,,,,64.4900,21.8200,"01/08/2006","31/07/2007"
"8728-1","Bionicle","Toa Inika",2006,"Toa Hahli",,46,7.99,9.99,,,,673419078634,14.5,23,7.2,0.3,"",1,1,0,,,,,,,,,64.5300,24.7000,"01/08/2006","31/07/2007"
"8729-1","Bionicle","Toa Inika",2006,"Toa Nuparu",,54,7.99,9.99,,,,673419078641,14.5,23,7.2,0.31,"",1,1,0,,,,,,,,,156.3000,30.5900,"01/08/2006","31/07/2007"
"8731-1","Bionicle","Toa Inika",2006,"Toa Kongu",,46,7.99,9.99,,,,673419078672,14.5,23,7.2,0.29,"",1,1,0,,,,,,,,,90.0800,19.8900,"01/08/2006","31/07/2007"
"8732-1","Bionicle","Toa Inika",2006,"Toa Matoro",,46,7.99,9.99,,,5702014467323,673419078689,14.5,23,7.2,0.3,"",1,1,0,,,,,,,,,82.1800,27.1800,"01/08/2006","31/07/2007"
"8736-1","Bionicle","Toa Hordika",2005,"Toa Hordika Vakama",,48,5.99,8.99,,,5702014423688,673419056151,10.2,20,8.8,,"",1,1,0,,,,,,,,,94.7200,9.5200,"01/07/2005","31/07/2006"
"8737-1","Bionicle","Toa Hordika",2005,"Toa Hordika Nokama",,48,5.99,9,,,,673419056168,10.2,20,8.8,,"",1,1,0,,,,,,,,,60.6600,13.5500,"01/07/2005","31/07/2006"
"8738-1","Bionicle","Toa Hordika",2005,"Toa Hordika Whenua",,48,5.99,9,,,5702014423718,,10.2,20,8.8,,"",1,1,0,,,,,,,,,44.2700,11.1700,"01/07/2005","31/07/2006"
"8739-1","Bionicle","Toa Hordika",2005,"Toa Hordika Onewa",,48,5.99,9,,,,673419056182,10.2,20,8.8,,"",1,1,0,,,,,,,,,53.0600,11.2400,"01/07/2005","31/07/2006"
"8740-1","Bionicle","Toa Hordika",2005,"Toa Hordika Matau",,48,5.99,9,,,,673419056199,10.2,20,8.8,,"",1,1,0,,,,,,,,,59.9500,8.9800,"01/07/2005","31/07/2006"
"8741-1","Bionicle","Toa Hordika",2005,"Toa Hordika Nuju",,48,5.99,9,,,5702014423749,673419056205,10.2,20,8.8,,"",1,1,0,,,,,,,,,44.2600,12.5000,"01/07/2005","31/07/2006"
"8742-1","Bionicle","Visorak",2005,"Visorak Vohtarak",,47,5.99,9,,,,673419056212,10.2,20,8.8,,"",1,1,0,,,,,,,,,37.1700,11.8600,"01/03/2005","31/12/2005"
"8757-1","Bionicle","Playsets",2005,"Visorak Battle Ram",14,189,19.99,30,,,,673419056670,28.8,28.8,6,0.44,"",1,1,0,,,,,,,,,44.8000,50.3000,"21/07/2005","31/12/2006"
"8804-2","Collectable Minifigures","Series 4",2011,"Kimono Girl",1,6,1.99,2.99,3.49,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,11.7900,8.9000,"01/04/2011","31/08/2011"
"8805-5","Collectable Minifigures","Series 5",2011,"Cave Woman",1,7,1.99,2.99,3.49,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,5.1800,3.5000,"01/09/2011","31/12/2011"
"8811-1","Bionicle","Warriors",2004,"Toa Lhikan and Kikanalo",,214,9.99,30,,,,673419061452,28.8,28.8,7.2,0.62,"",1,1,0,,,,,,,,,171.5800,81.7800,"19/10/2004","31/12/2005"
"8833-14","Collectable Minifigures","Series 8",2012,"Actor",1,7,1.99,2.99,,,,,8.8,1,11.7,,"",1,1,0,,,,,,,,,18.8000,11.8900,"01/09/2012","31/12/2012"
"8894-1","Bionicle","Playsets",2006,"Piraka Stronghold",12,648,49.99,74.99,,,,673419078795,57.6,38.4,9.6,1.7,"",1,1,0,,,,,,,,,159.9700,70.5300,"01/08/2006","31/07/2007"
"8900-1","Bionicle","Piraka",2006,"Reidak",,41,6.99,8.99,,,5702014465800,,10.2,20,8.8,,"",1,1,0,,,,,,,,,80.5400,20.9200,"01/01/2006","31/12/2006"
"8901-1","Bionicle","Piraka",2006,"Hakann",,42,6.99,8.99,,,5702014465817,673419077866,10.2,20,8.8,,"",1,1,0,,,,,,,,,57.7800,20.2900,"01/01/2006","31/12/2006"
"8902-1","Bionicle","Piraka",2006,"Vezok",,41,6.99,8.99,,,5702014465824,673419077873,10.2,20,8.8,,"",1,1,0,,,,,,,,,60.3200,23.6100,"01/01/2006","31/12/2006"
"8905-1","Bionicle","Piraka",2006,"Thok",,42,6.99,8.99,,,5702014465855,673419077903,10.2,20,8.8,,"",1,1,0,,,,,,,,,84.5400,22.5900,"01/01/2006","31/12/2006"
"8961-1","Power Miners","",2009,"Crystal Sweeper",4,474,41.09,69.99,,,,673419112819,48,37.8,7.05,1.06,"",1,1,0,,,,,,,,,220.3100,87.6200,"01/01/2009","31/12/2009"
"9494-1","Star Wars","Episode III",2012,"Anakin's Jedi Interceptor",5,300,34.99,39.99,49.99,,5702014841086,,38.2,26.2,4.7,,"",1,1,0,,,,,,,,,130.2700,65.8800,"01/01/2012","31/12/2013"
"10265-1","Creator Expert","Vehicles",2019,"Ford Mustang",,1471,149.99,169.99,209.99,169.99,5702016368260,673419302425,48,28.2,11.8,,"",1,1,0,,,,,,,,,134.8100,98.4700,"01/03/2019","31/12/2023"
"10272-1","Creator Expert","Stadiums",2020,"Old Trafford - Manchester United",,3898,244.99,299.99,349.99,279.99,5702016667998,,58.2,48,17,,"",1,1,0,,,,,,,,,322.9100,212.1500,"01/02/2020","31/12/2022"
"10937-1","DC Comics Super Heroes","Batman",2013,"Batman: Arkham Asylum Breakout",8,1619,129.99,159.99,209.99,,5702014973398,,58.2,48,9.1,,"",1,1,0,,,,,,,,,195.0700,191.0200,"01/01/2013","31/12/2014"
"21108-1","Ideas","Licensed",2014,"Ghostbusters Ecto-1",4,508,44.99,49.99,59.99,49.99,5702015287593,,35.4076,19.1008,5.8928,0.69,"",1,1,0,,,,,,,,,114.5200,94.9800,"01/06/2014","31/12/2016"
"21304-1","Ideas","Licensed",2015,"Doctor Who",6,623,49.99,59.99,69.99,59.99,5702015535588,673419243766,26.2,19.1,7.2,,"",1,1,0,,,,,,,,,163.5900,143.2300,"01/12/2015","31/12/2016"
"21336-1","Ideas","Licensed",2022,"The Office",15,1164,104.99,119.99,149.99,119.99,5702017261157,673419368216,48,28.2,9.1,,"",1,1,0,,,,,,,,,104.4900,87.3000,"01/10/2022","31/12/2025"
"21339-1","Ideas","Licensed",2023,"BTS Dynamite",7,749,89.99,99.99,129.99,99.99,5702017417462,673419376266,38.2,26.2,9.4,,"",1,1,0,,,,,,,,,79.0700,55.0000,"01/03/2023","31/12/2024"
"30443-1","Marvel Super Heroes","Spider-Man: Far From Home",2022,"Spider-Man Bridge Battle",1,44,,,,,,,17,17,1.7,,"",1,1,0,,,,,,,,,6.4300,3.9700,"17/01/2022","31/12/2022"
"30453-1","Marvel Super Heroes","Captain Marvel",2020,"Captain Marvel and Nick Fury",2,32,3.49,4.99,,3.99,5702016669015,673419322539,17,17,0.8,,"",1,1,0,,,,,,,,,5.8400,3.7500,"01/01/2020","31/12/2020"
"30652-1","Marvel Super Heroes","Doctor Strange in the Multiverse of Madness",2023,"Doctor Strange's Interdimensional Portal",1,44,,4.99,,,,,17,19.5,1.5,,"",1,1,0,,,,,,,,,4.3500,2.9000,"01/02/2023","31/12/2023"
"30653-1","DC Comics Super Heroes","Batman Returns",2023,"Batman 1992",1,40,,4.99,,,,,17,19.5,1.5,,"",1,1,0,,,,,,,,,4.5900,4.7900,"05/06/2023","31/12/2024"
"41589-1","BrickHeadz","Marvel Super Heroes",2017,"Captain America",,79,9.99,9.99,12.99,9.99,,673419267182,9.0932,12.192,7.7978,0.1043262,"",1,1,0,,,,,,,,,47.1800,17.1400,"01/03/2017","31/12/2017"
"41590-1","BrickHeadz","Marvel Super Heroes",2017,"Iron Man",,96,9.99,9.99,12.99,9.99,,673419267199,9.0932,12.192,7.7978,0.1088621,"",1,1,0,,,,,,,,,36.0400,18.8500,"01/03/2017","31/12/2017"
"60078-1","City","Space",2015,"Utility Shuttle",2,155,17.99,24.99,29.99,19.99,5702015349819,673419230513,26.2128,19.1008,6.096,0.35866,"",1,1,0,,,,,,,,,31.3800,15.3200,"01/06/2015","31/12/2016"
"60298-1","City","Stuntz",2021,"Rocket Stunt Bike",1,14,6.99,7.99,9.99,7.99,5702016911596,,9.1,12.2,4.7,0.047,"",1,1,0,,,,,,,,,6.1400,5.5000,"01/10/2021","31/12/2022"
"60347-1","City","Town",2022,"Grocery Store",5,404,54.99,69.99,89.99,59.99,5702017161617,,47.8,28,5.8,0.916,"",1,1,0,,,,,,,,,67.1700,64.1700,"01/06/2022","31/12/2022"
"60430-1","City","Space",2024,"Interstellar Spaceship",1,240,17.99,19.99,24.99,19.99,5702017588094,673419389686,26.2,19.1,4.6,0.369,"",1,1,0,,,,,,,,,13.9300,,"01/01/2024","31/12/2025"
"70160-1","Ultra Agents","",2014,"Riverside Raid",2,88,9.99,11.99,15.99,9.99,5702015124232,673419210461,15.6972,14.097,4.4958,0.11,"",1,1,0,,,,,,,,,11.6200,5.2400,"01/06/2014","31/07/2015"
"70841-1","The LEGO Movie 2","",2019,"Benny's Space Squad",5,68,8.99,9.99,13.99,9.99,5702016395396,673419308786,14.1,12.2,4.6,0.09,"",1,1,0,,,,,,,,,26.0600,23.5600,"01/01/2019","31/12/2019"
"71000-12","Collectable Minifigures","Series 9",2013,"Mermaid",1,6,1.99,2.99,,,5702014973497,,8.8,1,11.7,,"",1,1,0,,,,,,,,,11.0800,7.8400,"01/01/2013","30/04/2013"
"71001-16","Collectable Minifigures","Series 10",2013,"Motorcycle Mechanic",1,6,1.99,2.99,,,5702014973565,673419191012,8.8,1,11.7,,"",1,1,0,,,,,,,,,5.0900,2.5700,"01/05/2013","31/08/2013"
"71017-12","Collectable Minifigures","The LEGO Batman Movie Series",2017,"Eraser",1,6,2.99,3.99,,,,,11.9888,8.9916,0.2032,0.00907184,"",1,1,0,,,,,,,,,4.0400,2.5100,"01/01/2017","30/04/2017"
"71022-3","Collectable Minifigures","Harry Potter Series",2018,"Ron Weasley",1,7,,3.99,,,,,12,9,0.2,,"",1,1,0,,,,,,,,,5.6300,3.7100,"01/08/2018","31/12/2018"
"71022-4","Collectable Minifigures","Harry Potter Series",2018,"Draco Malfoy",1,9,,3.99,,,,,12,9,0.2,,"",1,1,0,,,,,,,,,5.5000,3.6600,"01/08/2018","31/12/2018"
"71022-5","Collectable Minifigures","Harry Potter Series",2018,"Luna Lovegood",1,9,,3.99,,,,,12,9,0.2,,"",1,1,0,,,,,,,,,15.9200,13.7300,"01/08/2018","31/12/2018"
"71022-6","Collectable Minifigures","Harry Potter Series",2018,"Neville Longbottom",1,9,,3.99,,,,,12,9,0.2,,"",1,1,0,,,,,,,,,5.0500,3.5400,"01/08/2018","31/12/2018"
"71022-11","Collectable Minifigures","Harry Potter Series",2018,"Professor Sybill Trelawney",1,8,,3.99,,,,,12,9,0.2,,"",1,1,0,,,,,,,,,17.5600,13.0100,"01/08/2018","31/12/2018"
"71022-12","Collectable Minifigures","Harry Potter Series",2018,"Cedric Diggory",1,7,,3.99,,,,,12,9,0.2,,"",1,1,0,,,,,,,,,5.6700,3.4300,"01/08/2018","31/12/2018"
"71022-17","Collectable Minifigures","Harry Potter Series",2018,"Newt Scamander",1,9,,3.99,,,,,12,9,0.2,,"",1,1,0,,,,,,,,,9.4800,6.7900,"01/08/2018","31/12/2018"
"71024-9","Collectable Minifigures","Disney Series 2",2019,"Elsa",1,7,2.99,3.99,,3.99,5702016369298,673419303163,,,,,"",1,1,0,,,,,,,,,4.7300,4.0100,"",""
"71024-10","Collectable Minifigures","Disney Series 2",2019,"Anna",1,8,2.99,3.99,,3.99,5702016369298,673419303163,,,,,"",1,1,0,,,,,,,,,4.9800,3.7300,"",""
"71024-15","Collectable Minifigures","Disney Series 2",2019,"Sally",1,7,2.99,3.99,,3.99,5702016369298,673419303163,,,,,"",1,1,0,,,,,,,,,6.9100,5.5800,"",""
"71024-16","Collectable Minifigures","Disney Series 2",2019,"Jack Skellington",1,10,2.99,3.99,,3.99,5702016369298,673419303163,,,,,"",1,1,0,,,,,,,,,17.9200,17.1700,"",""
"71024-18","Collectable Minifigures","Disney Series 2",2019,"Frozone",1,7,2.99,3.99,,3.99,5702016369298,673419303163,,,,,"",1,1,0,,,,,,,,,3.1500,2.8600,"",""
"71026-4","Collectable Minifigures","DC Super Heroes Series",2020,"Stargirl",1,9,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",1,1,0,,,,,,,,,4.5300,3.2200,"",""
"71026-6","Collectable Minifigures","DC Super Heroes Series",2020,"Cheetah",1,9,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",1,1,0,,,,,,,,,4.0500,3.1600,"",""
"71026-8","Collectable Minifigures","DC Super Heroes Series",2020,"Green Lantern",1,9,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",1,1,0,,,,,,,,,5.4200,3.9400,"",""
"71026-11","Collectable Minifigures","DC Super Heroes Series",2020,"Huntress",1,10,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",1,1,0,,,,,,,,,6.6000,5.5000,"",""
"71026-12","Collectable Minifigures","DC Super Heroes Series",2020,"Metamorpho",1,7,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",1,1,0,,,,,,,,,3.7400,2.8400,"",""
"71026-13","Collectable Minifigures","DC Super Heroes Series",2020,"Joker",1,11,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",1,1,0,,,,,,,,,4.1200,3.3500,"",""
"71026-14","Collectable Minifigures","DC Super Heroes Series",2020,"Bumblebee",1,10,,4.99,,,5702016619416,673419319362,9.5,15,0.7,0.01,"",1,1,0,,,,,,,,,5.3800,4.1800,"",""
"71028-5","Collectable Minifigures","Harry Potter Series 2",2020,"Luna Lovegood",1,6,,4.99,,,5702016619430,673419319386,9.5,15,0.7,0.01,"",1,1,0,,,,,,,,,5.4700,3.9200,"",""
"71028-6","Collectable Minifigures","Harry Potter Series 2",2020,"Griphook",1,7,,4.99,,,5702016619430,673419319386,9.5,15,0.7,0.01,"",1,1,0,,,,,,,,,4.1900,3.2400,"",""
"71028-9","Collectable Minifigures","Harry Potter Series 2",2020,"Ginny Weasley",1,8,,4.99,,,5702016619430,673419319386,9.5,15,0.7,0.01,"",1,1,0,,,,,,,,,5.7800,5.0400,"",""
"71031-1","Collectable Minifigures","Marvel Studios Series",2021,"The Scarlet Witch",1,8,3.49,4.99,,3.99,5702016912722,673419339018,9.5,15,0.7,,"",1,1,0,,,,,,,,,6.2200,6.9000,"01/09/2021","31/12/2021"
"71031-2","Collectable Minifigures","Marvel Studios Series",2021,"The Vision",1,8,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,81.8500,81.4900,"01/09/2021","31/12/2021"
"71031-3","Collectable Minifigures","Marvel Studios Series",2021,"Monica Rambeau",1,10,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,247.7200,3.5900,"01/09/2021","31/12/2021"
"71031-4","Collectable Minifigures","Marvel Studios Series",2021,"Winter Soldier",1,8,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,5.3300,4.2500,"01/09/2021","31/12/2021"
"71031-5","Collectable Minifigures","Marvel Studios Series",2021,"Captain America",1,10,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,7.4300,6.4100,"01/09/2021","31/12/2021"
"71031-6","Collectable Minifigures","Marvel Studios Series",2021,"Loki",1,7,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,6.1100,5.3800,"01/09/2021","31/12/2021"
"71031-7","Collectable Minifigures","Marvel Studios Series",2021,"Sylvie",1,7,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,6.0200,4.5600,"01/09/2021","31/12/2021"
"71031-8","Collectable Minifigures","Marvel Studios Series",2021,"Zombie Hunter Spidey",1,9,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,9.4500,9.2500,"01/09/2021","31/12/2021"
"71031-9","Collectable Minifigures","Marvel Studios Series",2021,"Zombie Captain America",1,6,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,6.4500,5.7300,"01/09/2021","31/12/2021"
"71031-10","Collectable Minifigures","Marvel Studios Series",2021,"Captain Carter",1,8,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,5.8800,5.0700,"01/09/2021","31/12/2021"
"71031-11","Collectable Minifigures","Marvel Studios Series",2021,"T'Challa Star-Lord",1,9,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,5.2000,4.5800,"01/09/2021","31/12/2021"
"71031-12","Collectable Minifigures","Marvel Studios Series",2021,"Gamora with Blade of Thanos",1,8,3.49,4.99,4.99,3.99,5702016912722,,9.5,15,0.7,,"",1,1,0,,,,,,,,,4.9100,4.2100,"01/09/2021","31/12/2021"
"71031-13","Collectable Minifigures","Marvel Studios Series",2021,"LEGO Minifigures - Marvel Studios Series - Complete",12,98,,,,,5702016912722,673419339018,9.5,15,0.7,,"",1,1,0,,,,,,,,,,,"01/09/2021","31/12/2021"
"71038-3","Collectable Minifigures","Disney 100 Series",2023,"Jiminy Cricket",1,7,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,,,"01/05/2023","31/08/2023"
"71038-11","Collectable Minifigures","Disney 100 Series",2023,"Miguel Rivera",1,9,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,,,"01/05/2023","31/08/2023"
"71038-12","Collectable Minifigures","Disney 100 Series",2023,"Pocahontas",1,9,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,,,"01/05/2023","31/08/2023"
"71038-15","Collectable Minifigures","Disney 100 Series",2023,"Prince John",1,7,3.49,4.99,,3.99,,,9.5,15,0.7,,"",1,1,0,,,,,,,,,,,"01/05/2023","31/08/2023"
"71238-1","Dimensions","Fun Pack",2016,"Cyberman Fun Pack",1,40,14.99,14.99,14.99,14.99,,,17.2,19,4.9,,"",1,1,0,,,,,,,,,28.8700,20.7100,"19/01/2016","31/12/2017"
"71453-1","Dreamzzz","Season 1: Trials of the Dream Chasers",2023,"Izzie and Bunchu the Bunny",2,259,18.99,19.99,24.99,20.99,5702017419237,673419376204,26.2,19.1,4.6,,"",1,1,0,,,,,,,,,16.4400,12.0000,"01/08/2023","31/12/2024"
"75038-1","Star Wars","Episode III",2014,"Jedi Interceptor",2,223,19.99,24.99,29.99,29.99,5702015121163,673419209366,26.1874,19.1008,6.096,0.34,"",1,1,0,,,,,,,,,73.2300,28.0300,"01/01/2014","31/12/2015"
"75040-1","Star Wars","Episode III",2014,"General Grievous' Wheel Bike",2,261,19.99,24.99,29.99,29.99,5702015121187,673419209380,26.1874,19.1008,4.5974,0.3,"",1,1,0,,,,,,,,,107.7200,47.9800,"01/01/2014","31/12/2015"
"75093-1","Star Wars","Episode VI",2015,"Death Star Final Duel",5,724,69.99,79.99,99.99,89.99,5702015352161,673419231329,48.006,28.194,7.3914,1.238306,"",1,1,0,,,,,,,,,101.9300,74.8100,"01/06/2015","31/12/2016"
"75099-1","Star Wars","Episode VII",2015,"Rey's Speeder",2,193,19.99,19.99,24.99,26.99,5702015352611,673419231572,26.2128,14.097,4.8006,0.2313319,"",1,1,0,,,,,,,,,29.2000,15.0300,"04/09/2015","31/12/2017"
"75105-1","Star Wars","Episode VII",2015,"Millennium Falcon",7,1329,139.99,149.99,179.99,149.99,5702015352659,673419231619,58.1914,37.7952,8.7122,2.313319,"",1,1,0,,,,,,,,,144.3000,82.8600,"04/09/2015","31/12/2017"
"75132-1","Star Wars","Episode VII",2016,"First Order Battle Pack",4,88,11.99,12.99,15.99,16.99,,673419247122,19.1008,14.097,4.5974,0.1179339,"",1,1,0,,,,,,,,,18.4500,11.4900,"01/01/2016","31/12/2017"
"75135-1","Star Wars","Episode III",2016,"Obi-Wan's Jedi Interceptor",2,215,19.99,24.99,29.99,29.99,,673419247498,26.2128,19.1008,6.096,0.3674095,"",1,1,0,,,,,,,,,96.8800,51.8900,"01/01/2016","31/12/2016"
"75155-1","Star Wars","Rogue One",2016,"Rebel U-wing Fighter",5,659,74.99,79.99,99.99,79.99,,673419248600,54.0004,28.194,5.8928,1.202019,"",1,1,0,,,,,,,,,197.7400,110.6500,"30/09/2016","31/07/2018"
